20331 京 【白】kiann 
20332 京 【文】king 
20333 佩 【俗】phuè 
20334 佩 puē 
20335 佬 ló 
20336 佳 ka 
20337 併 pìng 
20338 使 【白】sài 
20339 使 【文】sù 
20340 侍 【白】sāi 
20341 侍 【文】sū 
20342 侗 【替】tòng 
20343 供 【文】kiong 
20344 依 i 
20345 兒 jî/lî 
20346 具 【文】kū 
20347 函 hâm 
20348 刮 kuat 
20349 到 【白】tàu 
20350 到 【文】tò 
20351 刷 suat 
20352 卑 pi 
20353 卓 【白】toh 
20354 卓 【文】tok 
20355 協 ha̍h 
20356 協 hia̍p 
20357 卷 【白】kǹg 
20358 叔 【文】siok 
20359 呢 【替】ne 
20360 呢 【替】nî 
20361 呧 【替】ti 
20362 周 tsiu 
20363 呱 【替】kuā 
20364 呴 【替】ku 
20365 呵 【替】o 
20366 呻 【文】sin 
20367 呼 【替】honn 
20368 呿 【替】khuh 
20369 和 hō 
20370 和 【白】huê 
20371 咍 hai 
20372 咎 kiū 
20373 咐 hù 
20374 咖 ka 
20375 固 kòo 
20376 坡 pho 
20377 坤 khun 
20378 坦 【文】thán 
20379 坪 【白】phiânn 
20380 坪 【文】phîng 
20381 坷 khia̍t 
20382 垃 【替】lâ 
20383 垃 【替】lah 
20385 奈 【文】nāi 
20386 奈 【白】ta 
20387 奉 hōng 
20388 奔 phun 
20389 妮 nî 
20390 妲 thán 
20391 始 【白】sí 
20392 姐 tsiá 
20393 姒 sāi 
20394 委 uí 
20395 孟 bīng 
20396 宗 tsong 
20397 宙 tiū 
20398 宛 uán 
20399 宜 gî 
20400 尚 【俗】sióng 
20401 尚 【文】siōng 
20402 尚 【白】siūnn 
20403 屄 【替】bai 
20404 居 【白】ki/ku 
20405 居 【文】ku 
20406 岡 kong 
20407 岩 【白】gâm 
20408 岩 【文】giâm 
20409 岳 ga̍k 
20410 岸 【文】gān 
20411 帙 tia̍t 
20412 帚 tshiú 
20413 帛 【白】pe̍h 
20414 帛 【文】pi̍k 
20415 延 iân 
20416 弦 hiân 
20417 弧 hôo 
20418 彼 pí 
20419 彿 hut 
20420 征 tsing 
20421 忽 hut 
20422 忿 hún 
20423 怏 【替】ǹg 
20424 怐 【替】khòo 
20425 怕 phà 
20426 怖 pòo 
20427 怡 î 
20428 怦 【替】phēnn 
20429 性 【白】sènn/sìnn 
20430 怫 【替】phut 
20431 怯 khiap 
20432 或 hi̍k 
20433 戾 lē 
20434 抱 【文】phāu 
20435 抱 【俗】pō 
20436 抵 【白】té 
20437 抵 【文】tí 
20438 押 【文】ap 
20439 拇 bú 
20440 拈 【替】ne 
20441 拉 【替】la 
20442 拉 【替】lá 
20443 拒 【白】kī/kū 
20444 拒 【文】kū 
20445 拓 thok 
20446 拔 【文】pua̍t 
20447 拘 khu 
20448 拙 tsuat 
20449 斧 【文】hú 
20450 斧 【白】póo 
20451 於 î 
20452 昂 gông 
20453 昆 khun 
20454 昇 sing 
20455 昊 hō 
20456 昌 tshiong 
20457 明 【白】bîn 
20458 明 【文】bîng 
20459 明 【白】mê 
20460 明 【白】miâ 
20461 昏 【白】hng 
20462 昏 【文】hun 
20463 易 ī 
20464 易 【白】ia̍h 
20465 易 【文】i̍k 
20466 昔 sik 
20467 朋 pîng 
20468 杭 hâng 
20469 杰 kia̍t 
20470 杵 thú 
20471 杷 pê 
20472 松 【白】tshîng 
